assunto,titulo
20,Concessionária prevê concluir nesta semana obra em cratera na Rio-Santos em Ubatuba
20,Princípio de incêndio gera correria em restaurante onde mais de 220 pessoas celebravam o Dia das Mães
20,O momento em que motorista de carro desgovernado é salva por desconhecidos nos EUA
20,EUA aliviam pressão sobre Venezuela para promover diálogo político
20,‘Mérito ABCZ 2022’ é entregue a 23 personalidades do setor agropecuário
20,"Ameaças do garimpo e invasões: o que se sabe sobre a Terra Indígena Baú, onde lideranças dizem ter detido garimpeiros no PA"
20,Saque de até R$ 1.000 é liberado em novo calendário da Caixa
20,INSS: donas de casa têm direito a aposentadoria?
20,Quais erros podem levar à exclusão do Simples Nacional?
20,"Após arranjar encontro entre delegada e Lessa para reaver caça-níqueis, delegado disse ‘Vamukuntudo’, aponta MP"
20,Pedestre é atropelado por carro no centro de Ivaiporã
20,Por que frio intenso e antecipado favorece safra de uvas no inverno em Ribeirão Preto e Franca
20,"Bolsas de NY fecham mistas, após mais um pregão volátil"
20,Irmãos ficam feridos em Araraquara durante tentativa de assalto
20,Quatro estudantes são esfaqueados em escola na Ilha do Governador
20,Condutor pode acessar a nova CNH digital através do celular
20,Ucrânia divulga novos ataques com drone na Ilha da Cobra; ASSISTA
20,PGE-AM abre inscrições para selecionar 10 estagiários de Direito
20,Cristiana Oliveira lança livro com reflexões
20,Hungria calcula custo de até EUR 18 bilhões para abrir mão do petróleo russo
20,"Nova emissora do Grupo Cidade de Comunicação, rádio Clube FM Jericoacoara estreia nesta sexta-feira (13)"
20,"Casa pega fogo no bairro Monsuaba, em Angra dos Reis"
20,"'Governo fez sua parte; está todo mundo no azul', diz Guedes sobre redução de impostos"
20,"Inflação de serviços sobe 0,66% em abril ante 0,45% em março no IPCA"
20,'DOC Liberal': veja as greves dos rodoviários nas últimas décadas em Belém
20,"Prefeitura de Divinópolis anuncia leilão de quase 70 imóveis; valores variam entre R$ 21,5 mil e R$ 4,71 milhões"
20,Prouni passa a ser ampliado para estudantes de escolas particulares sem bolsa; entenda a mudança
20,Programa 'Padrinho Legal' abre inscrições para acolhimento de adolescentes em Jundiaí
20,Rus e Rússia: qual é a diferença?
20,Ministro da Defesa cobra que TSE divulgue sugestões dos militares para as eleições
20,Como a covid tomou a isolada Coreia do Norte
20,Polícia Civil conclui inquérito sobre latrocínio contra idoso no Bairro Nossa Senhora de Lourdes em Juiz de Fora
20,Ação resgata 10 pessoas de trabalho escravo no Entorno do DF
20,Senado discute projeto que regula produção de energia em alto-mar
20,Postos devem exibir preço de combustível com duas casas decimais
20,"Mourão vê disruptura e fala em parcialidade de Alexandre de Moraes, do STF"
20,"Operação integral da estação Vila Sônia, da Linha 4 - Amarela do Metrô, começa nesta terça"
20,Saque Extraordinário do FGTS: Novas datas de liberação
20,VÍDEO: Redemoinho interrompe partida de futebol no Peru
20,Imposto de Renda 2022: última correção da tabela foi em 2015; relembre
20,"Frango: Com diminuição de vendas à China, outros destinos garantem bom desempenho"
20,Silveira se recusa a receber notificação de Moraes sobre tornozeleira
20,Motorista é detido por transporte ilegal de madeira nativa na região sul da Bahia
20,"Criminosos invadem casa, rendem família e roubam duas caminhonetes e joias em Uberaba"
20,"Gusttavo Lima, Maiara & Maraisa, Zeca Baleiro e teatros; veja agenda para o fim de semana na região"
20,"Apesar de convite de Zelenski, Scholz enviará ministra alemã para visitar Ucrânia em seu lugar"
20,Curso gratuito para formar eletricistas abre 175 vagas no DF
20,Vacinação contra a Covid-19 em crianças tem horário estendido em Dracena
20,Vídeo: população impede fuga de suspeito de furtar bicicleta em Vitória
20,TSE responde à Defesa que não se opõe à divulgação de documentos sobre processo eleitoral
20,Almir Sater e Renato Teixeira falam sobre canção predestinada para o 'Velho do Rio' de 'Pantanal'
20,Britney Spears posta foto nua segurando cachorro
20,"'Doutor Estranho no multiverso da loucura' segue na liderança da bilheteria nacional e arrecada R$ 31,4 milhões"
20,VÍDEO: grupo flagra 'briga' de boto-cor-de-rosa com peixes elétricos no rio Guaporé em RO
20,'Corre cutia': idoso chama a polícia para tirar roedor que invadiu casa e transitava por cômodos em MS
20,Cidade Alerta Oeste Ao Vivo | 05/05/2022
20,Lucro da Petrobras e mais: confira o que pode afetar os investimentos hoje
20,Irmão de Marcola é alvo de nova investigação por lavagem de dinheiro em SP
20,Mais de 150 mil pessoas não declararam IR no ES; prazo termina em 31 de maio
20,"Antes de chegar ao Brasil, Elon Musk provoca alta de criptomoeda"
20,VÍDEO: onça-parda é resgatada em estado grave após ser atropelada em rodovia federal em MS
20,"Homem condenado por estupro de vulnerável é preso em Viamão, diz polícia"
20,"Alvo de protestos, Bolsonaro lamenta perda do poder de compra de servidores"
20,IFRN abre inscrições para Programa de Iniciação Tecnológica e Científica nesta segunda-feira (23)
20,"Madison Cawthorn, deputado conservador dos EUA, tem vídeo íntimo vazado ao lado de outro homem"
20,Caixa com produtos químicos explode em agência dos Correios em MG
20,Bairros em Ubá têm abastecimento de água interrompido para manutenção emergencial
20,Suspeito de furtar igreja e ser atropelado na fuga passa por cirurgia em hospital
20,Fundadora do Exército Vermelho Japonês é solta da prisão após 20 anos
20,Segunda parcela do 13° do INSS começa a ser paga na próxima 4ª feira
20,"99% dos adultos da cidade de SP já foram contaminados com coronavírus ou estão vacinados, aponta pesquisa"
20,Projeto de embargo europeu faz petróleo subir em mercado tenso
20,"Retomada econômica: DF voltou a gerar empregos e renda, diz presidente da Fecomércio"
20,Morador reclama da falta de ponto de ônibus no bairro Planalto
20,Autoridades cubanas confirmam 42 mortos em explosão de hotel
20,"Polícia de SP prende Paulo Cupertino, acusado de assassinar Rafael Miguel e os pais do ator"
20,Vídeo: carro atropela e arrasta moto em rodovia de São Paulo
20,"Eztec aprova recompra de até 9,5 mi de ações"
20,Brasileira ajuda ucranianos a fugirem dos horrores da guerra<br />
20,"China reafirma política de tolerância zero contra covid, apesar de desaceleração"
20,Juíza manda soltar suspeitos de sequestrar e matar jovem por engano em 'tribunal do crime' no Piauí
20,Congresso promulga lei que autoriza doação de vacinas contra a covid-19
20,Confira o novo valor do salário mínimo para 2023
20,Homem é assassinado a tiros dentro de bar em Parauapebas
20,Justiça determina que mulher e filhas de trabalhador que morreu atingido por árvore sejam indenizadas em MT
20,"Suspeito de estrangular e matar professora é achado morto em cela de presídio, em RO"
20,Preço da gasolina passa de R$ 7 em 20 capitais brasileiras
20,Ações da Petrobras caem mais de 2% após troca no comando da estatal
20,Vídeos mostram servidora do TJ-PI recebendo R$ 2 mil e sendo presa em flagrante; suspeita de cobrar para agilizar processos
19,Caso Heloá: vizinho que confessou ter estuprado e matado menina de 11 anos vai a júri em novembro deste ano
19,Conselho de Ética abre processo contra Eduardo Bolsonaro por ataques a Miriam Leitão
19,Paulinho Moska e Zélia Duncan inserem Itamar Assumpção e Rita Lee no trilho autoral do show 'Um par ímpar'
18,Camisa usada por Maradona no gol 'La Mano de Dios' é leiloada por R$ 44 milhões; filha diz que não é a original
18,Estados Unidos dizem que brasileiros precisam confiar nas eleições
17,"Criminosos ateiam fogo em ônibus na região do Barreiro, em BH"
17,Site OutLine volta ao ar em novo formato após sumiço
17,Pernambucano que mudou para SP em busca de uma vida melhor passa por dificuldades
17,"Bolsonaro com Elon Musk; Alexandre de Moraes, alta da covid, varíola do macaco, Doria e Tebet"
17,"Mães denunciam falta de ar condicionado em maternidade de Salvador, após recém-nascidos ficarem empolados"
17,"IRPF: A menos de um mês do fim do prazo, apenas 55% dos paranaenses fizeram as declarações"
17,Alckmin diz que receita de lula com chuchu combina ao anunciar chapa com Lula
17,Motorista envolvido em acidente com 7 mortes sai da cadeia após pagamento de fiança
17,FGTS Extraordinário: nascidos em abril vão poder sacar a partir do dia 11
17,"Coreia do Norte lança provável míssil balístico de submarino, diz Coreia do Sul"
17,Brasileiro que vai ao espaço começa treinamento oficial nesta terça nos EUA: 'Cada vez mais próximo'
17,"Homem é preso suspeito de estuprar três filhas, em Manaus"
17,Governo promove roda de conversa sobre Dia Nacional de Enfrentamento à Violência Sexual contra Crianças e Adolescentes
17,"Bolsonaro perdeu controle da agenda da eleição; pauta é fome, não 'kit gay', diz presidente do PSOL"
17,Tribunal do Júri condena dois réus pelo assassinato de vendedor de frutas em Araguaína
17,Cantor Max Viana assume direção artística do Festival de Inverno Bahia: 'evento enorme e com uma história linda'
17,Ciclista gravemente ferida após ser atropelada em Uberlândia segue internada; veja vídeo
17,Justiça anula processo de roubo contra caminhoneiro preso injustamente no interior de SP
17,MPRJ faz operação contra bingos e suposto envolvimento de policiais
17,'Fuga de jalecos': a onda de profissionais da saúde que trocam Brasil pelos EUA
17,Doses da Pfizer em menores de 5 anos gera resposta imune
17,Suspeito de estuprar mulher trabalhava no mesmo local que a vítima em Teresina; crime aconteceu na empresa
17,Pula fogueira
17,Governo nega que Bolsonaro recebeu conselho da CIA para não duvidar do sistema eleitoral do Brasil
17,"'Suco, água?' Ações da Gol sobem 4,23% com a retomada do serviço de bordo"
17,Mais de 1 milhão esperando perícia médica pelo INSS
17,Polícia prende integrantes de quadrilha especializada em roubar casas de famílias orientais em SP
17,Peixe 'extinto' no México é reintroduzido na natureza graças a zoo inglês
17,Naufrágio em Porto Rico deixa ao menos 11 mortos
17,"Aquaviário no ES: barcos terão ar-condicionado, Wi-Fi e tarifa integrada com ônibus do Transcol"
17,"Com auxílio de funcionários, jovem de 21 anos dá à luz em USF de São Carlos"
17,Seleção feminina de futebol está perto do bronze na Surdolimpíada
17,"Sem óbito, boletim da Sesau registra mais 47 casos de Covid em Alagoas"
17,"Dupla é presa suspeita de roubar mulheres após marcar encontros por aplicativo de relacionamentos, em Caldas Novas"
17,Jovem de 18 anos morre após motorista bêbado perder controle e cair com carro lotado em córrego
17,"Mulher denuncia servidor do Tribunal de Justiça do Piauí por transfobia: 'tu tá intimado, rapaz'"
17,Turquia negociará entrada da Finlândia e Suécia na Otan no sábado em Berlim
17,Ex-dono do banco Santos questiona venda de R$ 2 bi em dívidas a receber
17,Mulheres com câncer podem receber benefícios através do INSS: entenda
17,Auxílio Emergencial terá pagamentos em maio de 2022? Confira
17,Homem fica ferido após carro derrubar poste em Jaú
17,Ministro do TSE que vetou manifestações políticas no Lollapalooza analisará ação do PT contra Michelle e Bolsonaro
17,Rebelião em presídio do Equador deixa ao menos 43 mortos
17,Elon Musk anuncia suspensão temporária da compra do Twitter
17,"Bruxa celebra a sexta-feira 13 e aproveita o dia para manifestar desejos de amor, prosperidade e saúde"
17,"Preço do litro de gasolina no Ceará chega a R$ 8,20, diz ANP; veja a pesquisa no estado"
17,Rio vacina contra gripe pessoas de grupos prioritários de 50 a 59 anos
17,Preço do GNV dispara e encosta no do álcool
17,Guerra na Ucrânia: os 80 dias de cerco a Mariupol que deixaram a cidade em ruínas
17,Depósito de nitrato de amônio é atingido por bombardeio russo na Ucrânia
17,Câmara aprova sanções a países que descumprirem acordos da OMC
17,"Após exame em placenta, padrasto é preso por estuprar e engravidar menina de 12 anos no DF"
17,Ministério da Saúde mantém uso de vacina da Janssen contra covid-19
17,Pagamento de parcelas atrasadas do imóvel com o FGTS
17,Homem é golpeado com tesoura após tentar enforcar mulher no interior de SP
17,Ministério da Defesa pede que TSE divulgue proposta das Forças Armadas para as eleições de outubro
17,Internacional e Cruzeiro empatam em 1 a 1 no Brasileiro Feminino
17,'Recitrônico': projeto recebe equipamentos eletrônicos para reciclagem neste sábado em Piracicaba
17,INSS: termina nesta sexta o pagamento da primeira parcela do 13º de aposentados e pensionistas; veja quem tem direito
17,"Reino Unido inaugura o Queer Britain, seu primeiro museu LGTBQ+"
17,"FGTS: Caixa paga até R$ 1.000 a 7,5 milhões de brasileiros"
17,Assista ao JA Repórter
17,"Motorista grava ônibus de dupla sertaneja a mais de 130 km/h antes da fatalidade: 'depois acontece acidente', previu; VÍDEO"
17,EUA acusam ex-senador haitiano pelo assassinato do presidente Jovenel Moise
17,Bolsonaro chega a São Paulo para evento do setor de alimentos
17,Cantora gospel e marido suspeitos de aplicar golpe da pirâmide são presos na Grande BH
17,Mostra de Leonilson tem de experiência gay a diagnóstico de Aids em Portugal
17,Sexta-feira 13: lenda da serpente do cemitério dos poloneses assombra moradores no interior do ES
17,Eleições 2022: Uberlândia ganha mais de 14 mil novos eleitores; outros 5 mil pedidos de títulos ainda são analisados
17,INSS: Saiba o que fazer se tiver a suspensão
17,Vídeo mostra momento em que policiais civis empurram e dão chute em tratorista durante operação no TO
17,Veja direitos do consumidor que tem celular furtado e usado para empréstimo
17,"Boliviana YPFB reduz envio de gás natural à Petrobras, abaixo do contratado"
17,Pensão por morte através do INSS: Mudanças para novas concessões aos brasileiros
17,Dívidas do FIES: Novas renegociações
17,Regulador mexicano multa a espanhola Iberdrola em US$ 467 milhões
17,TSE confirma que qualquer partido pode auditar eleições após falas de Bolsonaro
17,Gilmar Mendes determina alteração de regras e reabertura do prazo para inscrição de candidatos na eleição indireta em Alagoas
17,Sine tem 302 vagas de emprego para Natal e mais seis cidades do RN
17,Cavalo é resgatado de fossa com três metros de profundidade em Januária
17,PGR pede que inquérito sobre ex-ministro Milton Ribeiro saia do STF
17,"Economia anuncia contingenciamento de R$ 8,7 bilhões do Orçamento"
17,Ângela Haonat é escolhida desembargadora do Tribunal de Justiça do Tocantins
17,Acidente entre três carros interdita rodovia que liga Santo Antônio do Jardim e Espírito Santo do Pinhal por 7 horas
17,"Caso suspeito de hepatite provocado por agente desconhecido é descartado em Fernandópolis, diz Secretaria de Saúde"
17,Diretoria da OAB RN toma posse em Natal
17,"Perícia Oficial coleta amostras de material biológico de pacientes do Hospital Portugal Ramalho, em Maceió"
17,ONU alerta para risco de crise alimentar global causada pela guerra
17,Suspeito de balear policial durante assalto em Teresina é foragido da Justiça do Maranhão
17,Em 13 horas chove o dobro do esperado para maio em BH
17,"Diesel tem valor reajustado em 8,87% nas refinarias a partir desta terça-feira"
17,"Pitty e Nando Reis programam parcerias no roteiro do inédito show 'As suas, as minhas e as nossas'"
17,Terra corre perigo com buraco negro 'monstruoso' no centro da Via Láctea?
17,Partidos têm até dia 31 para pedir registro de federações partidárias
17,"Corpo de menino que desapareceu durante banho de rio é encontrado em Garrafão do Norte, no Pará"
17,"No DF, 206 mil lares estão em situação de insegurança alimentar"
17,A importância da atenção individualizada à mulher no manejo da endometriose
17,Senado aprova MP que estabelece salário mínimo de R$ 1.212
17,"Final de 'Ozark' decepciona muitos fãs, mas não é a única série a fazer isso"
17,Itaú Unibanco prevê elevação da inadimplência rumo a níveis pré-pandemia
17,Defesa Civil emite alerta de frio intenso para a região nesta semana; Mínima pode chegar a 1°C na Serra da Mantiqueira
17,Jovens ficam feridos em acidente envolvendo carro e caminhão na MG-050 próximo a Doresópolis
17,"Com disparada do preço de energia e combustível, ICMS entra na mira de União e Congresso Nacional; entenda"
17,"Brasil tem superávit comercial de US$8,148 bi em abril, abaixo do esperado"
17,"Atropelamento deixa uma criança morta e outras duas pessoas feridas em Marechal Deodoro, AL"
17,Senado altera forma de cálculo de publicidade de governos
17,"Com vacinação, Fortaleza alcança “estágio de muito baixa mortalidade” por Covid-19"
17,Trabalhadores nascidos em abril podem sacar até R$ 1 mil do FGTS
17,A última esperança de colombiano que encontrou assassino da filha no Brasil após 26 anos
17,Concerto e homenagens emocionam mães servidoras da Assembleia Legislativa de Roraima
17,Autônomos: Confira como se inscrever para pagar o INSS
17,Franceses tentam salvar baleia orca perdida no rio Sena; veja vídeo
17,Como o lixo pode revelar preferências e mudanças de hábito das pessoas
17,Elon Musk diz querer suspender banimento de Trump no Twitter
17,Teatro de Arena em Ribeirão Preto tem nova licitação para reforma; Lar Santana deve ser revitalizado
17,"Pentágono busca entender origens de Óvnis, diz autoridade americana; VÍDEO mostra fenômenos"
17,Moraes unifica investigações sobre milícias digitais e live de Bolsonaro
17,Quem são os 'traidores' da guerra de Putin
17,Bolo para o Dia das Mães: 4 receitas simples que vão despertar a memória afetiva de sua mãe
17,Mulher confessa ter sofrido aborto e inventado história sobre sequestro de bebê em SP; família lamenta situação: 'momento é muito delicado'
17,PAT de Araraquara tem 16 vagas de emprego para diversos níveis; saiba como se candidatar
17,Xi Jinping e a receita para o fracasso
17,Adolescentes suspeitos de furtar motocicleta são detidos pela Guarda Municipal de Limeira
17,Fundo de pensão processa Musk e Twitter para impedir compra da rede social
17,"Após ter celular furtado, morador de SP acumula R$ 143 mil de prejuízo em operações bancárias feitas por criminosos"
17,Iraque: tempestade de areia deixa um morto e 5 mil com doenças respiratórias
17,Vendedor de balas em semáforos de Campo Grande é agredido e assaltado
17,Reino Unido diz que tomará todas as medidas para garantir paz na Irlanda do Norte
17,"‘Eu só vi o meu rosto sangrando’, diz estudante esfaqueada por colega em escola na Ilha"
17,"PM apreende pedras de crack e porções de maconha escondidas dentro de mala, em Governador Valadares"
17,Circuito de Jazz & Blues faz shows gratuitos em cidades fluminenses
17,"Morte de ex-policial militar em Cajazeiras, PB, pode ter sido execução, diz delegado"
17,Conta remunerada ou poupança: qual rende mais? Veja comparação
17,PMB oficializa Emir Larangeira como pré-candidato ao Governo do Rio
17,Bolsonaro vê Moraes como 'parcial' e diz que tem 'pouco contato' com Daniel Silveira
17,"Após aprovação de PL, Prefeitura de Campinas cita aumento nas doenças respiratórias e defende uso de máscaras em escolas"
17,Petrobras: Bolsonaro diz a aliados que quer preços de combustível e de gás congelados até a eleição
17,Chuva alaga corredor no pronto atendimento do Hospital Geral de Roraima
17,Quinze dúvidas para pedidos de benefício do INSS
17,"Decisão de Mendonça sobre ICMS vai aumentar tributação sobre combustíveis, diz Wellington Dias"
17,Capital paulista desobriga uso de máscaras em táxis e carros de app
17,Demora na concessão de BPC pelo INSS
17,Homem é assassinado a tiros dentro de carro em Gurupi
17,Ministro da Educação nega participação em reuniões com pastores
17,Jovens 'sem religião' superam católicos e evangélicos em SP e Rio
17,Rendimento de pensão por morte do INSS deve ser declarada no Imposto de Renda?
17,Dia da Vitória: Putin compara invasão da Ucrânia à vitória na 2ª Guerra Mundial
17,Número de transplantes de rim caiu nos últimos dois anos
17,Pais de adolescentes apreendidos em Teresina dizem ao Conselho Tutelar que não sabiam que filhos estavam em festa de influencer
17,"Bolsonaro 'acha que artista é tudo comunista', diz Lula em Contagem (MG)"
17,Bombardeio a escola no leste da Ucrânia termina com 60 mortos
16,"Rússia x Ucrânia: o que é 'guerra por procuração', que Moscou acusa Otan de ter iniciado"
16,Compartilhar imagem íntima sem autorização é crime; veja como denunciar
15,Diretora e duas professoras são afastadas após denúncias de agressões a criança de 3 anos em escola
15,Grupo usa uniformes da polícia para roubar joalheria de BH
15,Ivete Sangalo celebrará seus 50 anos com show exclusivo
15,Como os astros influenciam nossa vida? Veja o que é ciência ou não
15,Dupla armada é presa na área central de Brasília (DF)
15,Edital inédito para incentivo a projetos sociais é lançado em Alagoas
15,"Inmet alerta para chuvas em 40 cidades, com riscos de alagamentos, deslizamentos e queda de árvores"
14,Minério de ferro sobe com otimismo quanto a apoio do BC da China
14,Google: a nova função para ocultar seus dados pessoais das buscas
13,"Com viagem de Bolsonaro, Pacheco assume Presidência da República"
13,Asma atinge mais mulheres: o que falta ciência esclarecer
12,Nova vítima denuncia psiquiatra por assédio sexual e presta depoimento; 9 casos foram registrados no Piauí
12,‘Teoria do louco’: como Nixon tentou convencer soviéticos que usaria bomba nuclear
11,Ucrânia busca retirar civis escondidos com combatentes em siderúrgica
11,Congresso diz ao STF que 404 parlamentares entregaram dados sobre emendas de relator liberadas
10,"'Para-choque se soltou e rasgou pneu', diz motorista de ônibus que levava dupla Conrado e Aleksandro"
10,Jornalista Gabriel Luiz recebe alta do hospital
10,"Vendas do varejo crescem 1% de fevereiro para março, diz IBGE"
10,Aras afirma que MPF tem como prioridade esclarecer caso de estupro em Terra Yanomami
10,‘Operação Ucrânia’ envia donativos a refugiados na Romênia
10,"Paulo Cupertino, suspeito de matar ator Rafael Miguel e família em 2019, é preso em SP"
10,Guarani x Ponte: Guarda reforça patrulhamento e segurança em terminais de ônibus para dérbi em Campinas
10,Entenda como funciona a Lei do Superendividamento
10,Catarinenses que ostentavam luxo são presos por golpes que somam R$ 1 mi
10,Caixa paga até R$ 1.000 com o FGTS
10,"Brasil tem 3ª gasolina mais cara do mundo, calcula consultoria"
10,Covid-19: Brasil tem 14.622 casos e 35 mortes em 24 horas
10,JR Entrevista : presidente da AMB diz que não existe possibilidade de fraude nas eleições
10,"Embargo repentino de gás russo causaria nova crise na economia alemã, mostra estudo"
10,Resultado Lotofácil 2515: veja os números sorteados neste sábado
10,Cemitérios recebem limpeza e segurança para o Dia das Mães em Belém
10,"Balança comercial registra superávit de US$ 8,1 bilhões em abril"
9,Exposição 'Minha Aldeia' reúne fotografias inspiradas no cotidiano amapaense
9,Ministério de Finanças de El Salvador anuncia cancelamento da emissão de títulos em Bitcoin
8,Onyx lidera em dois cenários para o Governo do Rio Grande do Sul
8,Jovem é suspeita de simular o próprio sequestro para extorquir a família em Contagem (MG)
8,Rússia usa nova geração de armas a laser na Ucrânia
8,Confira as vagas de emprego do Sine em Macapá para o dia 24 de julho
8,Caso Lucilene: possível testemunha morre após tentar falar com família
8,Homem que tentou matar a esposa é preso dentro de ônibus no DF
8,Varíola dos macacos: os países onde doença já foi detectada
7,"Com surto na região Norte, campanha contra o sarampo no AP começa em agosto"
7,"Informações dos EUA ajudaram Ucrânia a localizar generais russos, afirma New York Times"
6,Ceará tem 66 municípios com emergência reconhecida pelo Governo Federal
6,Vale fecha acordo com Tesla para fornecimento de níquel
5,Bombeiros combatem vários focos de incêndio no Distrito Industrial em Uberlândia; veja vídeo
5,Postos de combustível falam em racionamento seletivo com aumento da defasagem de preços
4,Maria: 'Comprava cinco sapatos iguais de uma vez'
4,Mulher presa com droga na vagina em Macapá é solta após audiência de custódia
3,Moraes manda associação explicar financiamento de motociata com Bolsonaro
3,Guinness Book registra maior orquestra de viola do mundo durante evento em Uberlândia
3,Projeto promove qualificação para empreendimentos sociais de Juruti
2,"Festival Coolritiba terá Iza, Planet Hemp e Natiruts e meia-entrada para vacinados"
2,Polícia suíça apreende 500 Kg de cocaína; droga veio do BR
2,Sophia Huang Xuequin: o desaparecimento de mulher que impulsionou #MeToo na China
2,Umidade relativa do ar pode chegar a 20% em cidades do Triângulo Mineiro e Alto Paranaíba
2,Moradores de Kharkiv começam a voltar para casa após se abrigarem por semanas em estação de metrô
2,Direitos no INSS
2,Larissa Manoela faz 'Travessura' com cantor panamenho Joey Montana em álbum produzido por Cabrera
2,"Martins faz show no Teatro do Parque, na sexta-feira 13"
2,"Azul conversa com United Airlines sobre extensão de parceria, espera 2º tri recorde"
2,"'Não podemos nos desviar da prática de preços de mercado', diz presidente da Petrobras"
2,Médico pneumologista dá dicas para evitar doenças respiratórias durante período de frio no Sul de Minas
2,Show do Metallica em Curitiba: acompanhe a movimentação no Couto
2,Presidente diz que deve ter sido único líder contrário ao isolamento
2,"'Só restam pedras', dizem os refugiados ucranianos que esperam para retornar para suas casas"
2,Presidente diz que proporá a Biden manter políticas tratadas com Trump
2,MPCE apura se há irregularidade em festa com concurso de 'saia mais curta'
2,EBC é líder de ranking de desempenho de empresas estatais pela 3ª vez
2,Rússia diz que não usará armas nucleares contra a Ucrânia
2,"Domingo ainda registra temperaturas baixas, mas frio perde força no Centro-Sul do País"
2,"Pandemia mostrou que sistema público de saúde precisa de hospitais, diz chefe da Rede D?Or"
2,Contagem regressiva: seis dias para a maior feira do agronegócio do MS
2,Divinópolis 110 anos: Prefeitura divulga regras da Cavalgada durante o desfile cívico
2,"Há um mês, motorista teve problema no mesmo local e conseguiu controlar caminhão"
2,Manual mostra como montar um viveiro para plantar mudas de café
2,Pesquisa aponta apoio esmagador a uma candidatura da Finlândia à Otan
2,Ministério quer explicações da TecToy sobre venda de carregador
2,Oficina mecânica pega fogo no Jardim Icatu em Votorantim
2,"Gabriel Sater sobre dividir cena com o pai, Almir Sater: 'Forte emoção e grande responsabilidade'"
2,Prazo de inscrições para o vestibular da Unemat termina nesta segunda-feira
2,Twitter vai criar seu ‘Ministério da Verdade’
2,"Acordo para vetar petróleo russo é 'questão de dias', diz França"
2,Secretário pede paciência a servidores na questão do reajuste
2,"Um ano após anúncio, videomonitoramento no Parque do Sabiá em Uberlândia segue sem conclusão"
2,"Suspeito morre em tentativa de assalto a policial militar no Cambuci, região central de SP"
2,Enem 2022: inscrições já estão abertas. Veja quando serão as provas
2,Fim da 3ª casa decimal: representante de postos em Ribeirão Preto explica influência no preço final dos combustíveis
2,Entrega de declarações do Imposto de Renda 2022 superam 22 milhões
2,"Dólar opera em queda, abaixo de R$ 5,10"
2,Artista plástico vai à Justiça para retomar estátua de Pelé
2,Polícia Civil de Juiz de Fora recebe denúncia de mais uma empresa que teve contêineres desviados
2,Presidente da Ucrânia propõe acordo formal para Rússia pagar indenização
2,Militante político Darcy Rodrigues morre aos 81 anos em Bauru
2,AGU assume defesa de 'Wal do Açaí' e pede arquivamento de processo
2,Cadastro Único em 2022 com a inscrição nos programas
2,Plataformas do Ministério da Saúde ficam fora do ar nesta terça
2,Ucrânia diz que Rússia não terá resultados significativos até dia 9 de maio
2,"Sem vitórias a declarar, Putin tenta justificar sua guerra para os russos"
2,Bebê engasgada com leite materno é salva por PMs em Piracicaba
2,"Motorista embriagado é preso depois de causar acidente na MG-050, em Passos, MG"
2,Biden viaja até Buffalo para se encontrar com famílias de vítimas do ataque em supermercado
2,Lojas dos shoppings de Mogi e Suzano têm mais de 10 vagas de emprego; veja lista
2,Apac faz alerta para chuvas moderadas a fortes nas cidades do Agreste e Sertão de PE
2,Congresso americano fará reunião sobre casos de avistamento de OVNIs divulgados pelo Pentágono
2,Globo Repórter investiga os mistérios da memória e traz pesquisa inédita sobre os efeitos da ‘Covid longa’ no cérebro
2,Vídeo: meteoro brilhante cruza o céu de Vitória
2,Auxílio-doença tem novo método para liberação no INSS
2,Empréstimo entre pessoas físicas é uma forma de investimento
2,"Atirador invade escola, dispara várias vezes e mata 21 nos EUA"
2,Rússia ataca cidade ao norte de Kiev; ao menos nove morrem
2,Primeiro-ministro do Sri Lanka renuncia após confrontos violentos
2,"Tempo seco reduz previsão de safra de milho do centro-sul em 5 mi t, diz AgRural"
2,"Trabalhador sofre acidente na GM e amputa parte do dedo, em São José dos Campos"
2,McDonald's: Cliente atira em funcionário em discussão por cupom de desconto
2,Greve de ônibus em Curitiba: Motoristas e cobradores podem parar na quinta-feira (12)
2,"Duas pessoas são mortas em tentativa de execução em Caxias do Sul, diz polícia"
2,2 milhões de jovens tiraram o título de eleitor pela primeira vez
2,Homens são presos com mais de 800 pinos de cocaína dentro de carro de aplicativo no ES
2,Inflação trava planos das empresas
2,Auditores fiscais lutam pelo Bônus de Eficiência
2,Homem morre em colisão entre a moto que conduzia e carro na MS-164
2,Empresas poderão acessar no INSS os pedidos de benefícios requeridos pelos empregados
2,Prefeitura de Caruaru reforça calendário de vistoria de veículos de transporte de passageiros com terminação de placa 9
2,110 m com barreira: Rafael Pereira triunfa antes do Ibero-Americano
2,Academia Gloriense de Letras promove encontro de jovens escritores
2,Caso Lucilene: testemunha é morta após tentar falar com família da vítima
2,Floresta é descoberta dentro de buraco gigante na China
2,Mark Ruffalo pede que lhe cobrem mais impostos
2,Conmebol faz sorteio dos jogos das oitavas de final da Libertadores
2,Presidente da Câmara volta a defender adoção do semipresidencialismo
2,Você sabia? A maioria das multas aos motoristas são por uso do celular
2,"Pré-candidato à reeleição, Bolsonaro chama de 'estupro' lucro da Petrobras   e pressiona empresa a não reajustar combustíveis"
2,Justiça impede ingresso de professores do Instituto de Artes em prédio da UFRGS parcialmente desocupado
2,Dólar fecha em alta com receios de que os juros nos EUA tenham de subir mais do que o esperado
2,"Ministra das Relações Exteriores da Alemanha visitará a Ucrânia em breve, diz Scholz"
